modelo,eventos_teste,MAE_m,RMSE_m,R2,MAE_apenas_celulas_molhadas_m,MAE_m_media_por_evento,MAE_m_desvio_por_evento,RMSE_m_media_por_evento,RMSE_m_desvio_por_evento,R2_media_por_evento,R2_desvio_por_evento
Persistência,4,0.0021046979818493128,0.01299700140953064,0.9823693633079529,0.016777269542217255,0.00210469780722633,0.00010483944170724222,0.01298487139865756,0.0005613977766489464,0.9805674403905869,0.006461890707577934
Regressão residual,4,0.003102280665189028,0.0127158984541893,0.9831237196922302,0.01597599685192108,0.003102280606981367,0.00015810049011818691,0.01270530023612082,0.0005190517197269828,0.9813719838857651,0.006246030626058318
Mini U-RNN,4,0.0029778694733977318,0.013490937650203705,0.9810038208961487,0.017649667337536812,0.0029778695898130536,0.00012258905574942067,0.013470164965838194,0.000748374159134136,0.9792817384004593,0.006299054348916884
U-RNN Lite U-like,4,0.003343449207022786,0.013488936237990856,0.9810094833374023,0.017759548500180244,0.0033434490906074643,0.0001243911302655646,0.013468417339026928,0.0007437305923474655,0.979292020201683,0.006270318243748313
